eventId,choiceIndex,id,label,text,speaker,portrait,nextEventId,effectsJson
EV003,0,EV003-A,先去操场报到，熟悉步兵与前排阵型。,先去操场报到，熟悉步兵与前排阵型。,主角,主角,EV004,"[{""kind"":""好感"",""target"":""zhao"",""delta"":4}]"
EV003,1,EV003-B,先去图书馆整理课程与任务记录。,先去图书馆整理课程与任务记录。,主角,主角,EV004,"[{""kind"":""好感"",""target"":""lin"",""delta"":4}]"
EV003,2,EV003-C,先去马房和码头打听道路与补给。,先去马房和码头打听道路与补给。,主角,主角,EV004,"[{""kind"":""好感"",""target"":""yierde"",""delta"":4}]"
EV006,0,EV006-A,找赵伯衡练前排推进与守点。,找赵伯衡练前排推进与守点。,主角,主角,EV007,"[{""kind"":""好感"",""target"":""zhao"",""delta"":6}]"
EV006,1,EV006-B,找林素心整理任务、战报和课程记录。,找林素心整理任务、战报和课程记录。,主角,主角,EV007,"[{""kind"":""好感"",""target"":""lin"",""delta"":6}]"
EV006,2,EV006-C,找伊尔德学习道路、骑兵和补给判断。,找伊尔德学习道路、骑兵和补给判断。,主角,主角,EV007,"[{""kind"":""好感"",""target"":""yierde"",""delta"":6}]"
EV008,0,EV008-A,支持稳固前线：先守住据点，再找机会推进。,支持稳固前线：先守住据点，再找机会推进。,主角,主角,EV009,"[{""kind"":""好感"",""target"":""chen"",""delta"":4}]"
EV008,1,EV008-B,支持机动包抄：用骑兵和散兵逼敌军分兵。,支持机动包抄：用骑兵和散兵逼敌军分兵。,主角,主角,EV009,"[{""kind"":""好感"",""target"":""yierde"",""delta"":4}]"
EV008,2,EV008-C,支持战前侦察：先知道敌军部署，再谈打法。,支持战前侦察：先知道敌军部署，再谈打法。,主角,主角,EV009,"[{""kind"":""好感"",""target"":""lin"",""delta"":4}]"
EV011,0,EV011-A,参加兵棋推演，提前熟悉守点与集火。,参加兵棋推演，提前熟悉守点与集火。,主角,主角,EV012,"[{""kind"":""好感"",""target"":""zhao"",""delta"":3}]"
EV011,1,EV011-B,参加茶馆沙龙，扩大同窗和派系消息来源。,参加茶馆沙龙，扩大同窗和派系消息来源。,主角,主角,EV012,"[{""kind"":""好感"",""target"":""lin"",""delta"":3}]"
EV011,2,EV011-C,前往边民救济，了解道路、民心和补给风险。,前往边民救济，了解道路、民心和补给风险。,主角,主角,EV012,"[{""kind"":""好感"",""target"":""yierde"",""delta"":3}]"
EV017,0,EV017-A,与赵伯衡和军校生讨论前线打法。,与赵伯衡和军校生讨论前线打法。,主角,主角,EV018,"[{""kind"":""好感"",""target"":""zhao"",""delta"":6}]"
EV017,1,EV017-B,与林素心和议会派整理战报口径。,与林素心和议会派整理战报口径。,主角,主角,EV018,"[{""kind"":""好感"",""target"":""lin"",""delta"":6}]"
EV017,2,EV017-C,与伊尔德和边地代表确认补给道路。,与伊尔德和边地代表确认补给道路。,主角,主角,EV018,"[{""kind"":""好感"",""target"":""yierde"",""delta"":6}]"
EV025,0,EV025-A,稳守中线，让重步和长枪拖住敌方推进。,稳守中线，让重步和长枪拖住敌方推进。,主角,主角,EV026,"[{""kind"":""好感"",""target"":""chen"",""delta"":4}]"
EV025,1,EV025-B,诱敌深入，用骑兵和散兵从侧翼切断补给。,诱敌深入，用骑兵和散兵从侧翼切断补给。,主角,主角,EV026,"[{""kind"":""好感"",""target"":""yierde"",""delta"":4}]"
EV025,2,EV025-C,集中远程火力，先击溃威胁最大的敌军。,集中远程火力，先击溃威胁最大的敌军。,主角,主角,EV026,"[{""kind"":""好感"",""target"":""li"",""delta"":4}]"
EV032,0,EV032-A,「他娘的，集中火炮轰开正面缺口，重步兵直接凿穿敌军阵线！」你决定以绝对武力碾压对手，展现铁血锋芒。,「他娘的，集中火炮轰开正面缺口，重步兵直接凿穿敌军阵线！」你决定以绝对武力碾压对手，展现铁血锋芒。,主角,主角身着夏季军校作训服，手执令旗，眉头紧锁，眼神犹疑。,EV033-A,"[{""kind"":""立场"",""target"":""陆军青壮派"",""delta"":2},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":3}]"
EV032,1,EV032-B,「风会记住足迹。借黑松林掩护侧翼迂回设伏。」你顺应自然之理以奇兵破局，暗合印第安乡党的生存智慧。,「风会记住足迹。借黑松林掩护侧翼迂回设伏。」你顺应自然之理以奇兵破局，暗合印第安乡党的生存智慧。,主角,主角身着夏季军校作训服，手执令旗，眉头紧锁，眼神犹疑。,EV033-B,"[{""kind"":""立场"",""target"":""印第安乡党"",""delta"":2},{""kind"":""好感"",""target"":""伊尔德"",""delta"":3}]"
EV032,2,EV032-C,「法者，权衡也。结阵死守等支援，不可妄动。」你恪守军令，以法度维持大局，彰显法治派的稳重秩序。,「法者，权衡也。结阵死守等支援，不可妄动。」你恪守军令，以法度维持大局，彰显法治派的稳重秩序。,主角,主角身着夏季军校作训服，手执令旗，眉头紧锁，眼神犹疑。,EV033-C,"[{""kind"":""立场"",""target"":""法治派"",""delta"":2},{""kind"":""好感"",""target"":""陈敬之"",""delta"":3}]"
EV034,0,EV034-A,「军令如山！引爆外围建筑形成隔离带！谁敢趁乱哄抢，按军法就地正法！」你拔出配枪铁腕控场，保全大局，却让底层士兵心生寒意。,「军令如山！引爆外围建筑形成隔离带！谁敢趁乱哄抢，按军法就地正法！」你拔出配枪铁腕控场，保全大局，却让底层士兵心生寒意。,主角,主角立于火光中，眉头紧锁，眼神坚毅，军服沾满灰烬。,,"[{""kind"":""立场"",""target"":""法治派"",""delta"":3}]"
EV034,1,EV034-B,「天下不该如此！人命重于泰山！」你违抗死守物资的死命令，组织学员与印第安劳工优先疏散，分发工具让平民协助灭火。火势失控却赢得民心。,「天下不该如此！人命重于泰山！」你违抗死守物资的死命令，组织学员与印第安劳工优先疏散，分发工具让平民协助灭火。火势失控却赢得民心。,主角,主角立于火光中，眉头紧锁，眼神坚毅，军服沾满灰烬。,,"[{""kind"":""立场"",""target"":""自由派"",""delta"":3}]"
EV034,2,EV034-C,「他娘的，这火起得蹊跷！」你暗中掩护那批未登记的旧式火器，借机将黑锅扣在政敌头上。虽西翼库房付之一炬，但你保住了陆军的核心底牌。,「他娘的，这火起得蹊跷！」你暗中掩护那批未登记的旧式火器，借机将黑锅扣在政敌头上。虽西翼库房付之一炬，但你保住了陆军的核心底牌。,主角,主角立于火光中，眉头紧锁，眼神坚毅，军服沾满灰烬。,,"[{""kind"":""立场"",""target"":""陆军青壮派"",""delta"":3}]"
EV036,0,EV036-A,接过郑怀远的酒杯一饮而尽。「当年渡海之时，先辈便立下誓言，故土才是归宿。」你向方孝先微微颔首，坚定站在旧贵族一侧。,接过郑怀远的酒杯一饮而尽。「当年渡海之时，先辈便立下誓言，故土才是归宿。」你向方孝先微微颔首，坚定站在旧贵族一侧。,主角,主角身着军校礼服，面容在烟火下明暗交织，眼神透着挣扎。,,"[{""kind"":""立场"",""target"":""返乡团"",""delta"":2},{""kind"":""好感"",""target"":""郑怀远"",""delta"":3}]"
EV036,1,EV036-B,婉拒醇酒，将部署递给方孝先。「军令如山，大陆霸权才是郑明存续之道！」你无视郑怀远失望的眼神，展现铁血锋芒。,婉拒醇酒，将部署递给方孝先。「军令如山，大陆霸权才是郑明存续之道！」你无视郑怀远失望的眼神，展现铁血锋芒。,主角,主角身着军校礼服，面容在烟火下明暗交织，眼神透着挣扎。,,"[{""kind"":""立场"",""target"":""陆军青壮派"",""delta"":2},{""kind"":""好感"",""target"":""方孝先"",""delta"":3}]"
EV036,2,EV036-C,「法者，国之权衡也。」你后退一步，不接酒也不交部署。「庆典之上当遵法度，不可因私废公。」你试图用法统压下两人火气。,「法者，国之权衡也。」你后退一步，不接酒也不交部署。「庆典之上当遵法度，不可因私废公。」你试图用法统压下两人火气。,主角,主角身着军校礼服，面容在烟火下明暗交织，眼神透着挣扎。,,"[{""kind"":""立场"",""target"":""法治派"",""delta"":2},{""kind"":""好感"",""target"":""吴存道"",""delta"":1}]"
EV038,0,EV038-A,接受军校派复盘，继续强化正面作战。,接受军校派复盘，继续强化正面作战。,主角,主角,EV039,"[{""kind"":""好感"",""target"":""zhao"",""delta"":5}]"
EV038,1,EV038-B,接受议会派约谈，把战报转化为政治筹码。,接受议会派约谈，把战报转化为政治筹码。,主角,主角,EV039,"[{""kind"":""好感"",""target"":""lin"",""delta"":5}]"
EV038,2,EV038-C,接受边地代表邀请，扩大战略地图上的情报来源。,接受边地代表邀请，扩大战略地图上的情报来源。,主角,主角,EV039,"[{""kind"":""好感"",""target"":""yierde"",""delta"":5}]"
EV040,0,EV040-A,坦诚初心，寻求共鸣，展现你的真诚与对时局的思考。,坦诚初心，寻求共鸣，展现你的真诚与对时局的思考。,主角,青年军官，黑发，面容坚毅,EV041,"[{""kind"":""立场"",""target"":""法治"",""delta"":10},{""kind"":""好感"",""target"":""李婉清"",""delta"":15}]"
EV040,1,EV040-B,维护家族，强调天职，展现你的强硬与对秩序的追求。,维护家族，强调天职，展现你的强硬与对秩序的追求。,主角,青年军官，黑发，面容坚毅,EV041,"[{""kind"":""立场"",""target"":""陆军"",""delta"":10},{""kind"":""好感"",""target"":""李婉清"",""delta"":-5}]"
EV040,2,EV040-C,反唇相讥，质疑动机，展现你的傲慢与强烈的防备心。,反唇相讥，质疑动机，展现你的傲慢与强烈的防备心。,主角,青年军官，黑发，面容坚毅,EV041,"[{""kind"":""立场"",""target"":""返乡团"",""delta"":5},{""kind"":""好感"",""target"":""李婉清"",""delta"":-15}]"
EV042,0,EV042-A,誓言复仇，将怒火引向故国，誓要踏平旧土以慰英灵。,誓言复仇，将怒火引向故国，誓要踏平旧土以慰英灵。,主角,青年军官，黑发，面容坚毅,EV043,"[{""kind"":""立场"",""target"":""返乡团"",""delta"":15},{""kind"":""好感"",""target"":""陈敬之"",""delta"":10}]"
EV042,1,EV042-B,坚持法治，要求独立调查，用法律与证据审判真凶。,坚持法治，要求独立调查，用法律与证据审判真凶。,主角,青年军官，黑发，面容坚毅,EV043,"[{""kind"":""立场"",""target"":""法治派"",""delta"":15},{""kind"":""好感"",""target"":""方孝先"",""delta"":10}]"
EV042,2,EV042-C,呼吁团结，保持中立立场，试图在激流中维持各方平衡。,呼吁团结，保持中立立场，试图在激流中维持各方平衡。,主角,青年军官，黑发，面容坚毅,EV043,"[{""kind"":""立场"",""target"":""中立"",""delta"":10},{""kind"":""好感"",""target"":""林素心"",""delta"":5}]"
EV044,0,EV044-A,握手结盟，暗中支持返乡团，共赴充满未知的归乡之路。,握手结盟，暗中支持返乡团，共赴充满未知的归乡之路。,主角,青年军官，黑发，面容坚毅,EV045,"[{""kind"":""立场"",""target"":""返乡团"",""delta"":20},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":20}]"
EV044,1,EV044-B,严词拒绝，坚守法治底线，劝其放弃极端行动以避内战。,严词拒绝，坚守法治底线，劝其放弃极端行动以避内战。,主角,青年军官，黑发，面容坚毅,EV045,"[{""kind"":""立场"",""target"":""法治派"",""delta"":15},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":-10}]"
EV044,2,EV044-C,提出条件，试探返乡团底线，要求其证明与刺杀无关。,提出条件，试探返乡团底线，要求其证明与刺杀无关。,主角,青年军官，黑发，面容坚毅,EV045,"[{""kind"":""立场"",""target"":""中立"",""delta"":5},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":5}]"
EV046,0,EV046-A,接受比试，正面迎战陈敬之，展现军人血性,接受比试，正面迎战陈敬之，展现军人血性,主角,青年军官，黑发，面容坚毅,EV047,"[{""kind"":""立场"",""target"":""陆军青壮派"",""delta"":5},{""kind"":""好感"",""target"":""陈敬之"",""delta"":-10},{""kind"":""获得"",""target"":""勇气"",""delta"":0}]"
EV046,1,EV046-B,拒绝比试，冷处理应对挑衅，以静制动,拒绝比试，冷处理应对挑衅，以静制动,主角,青年军官，黑发，面容坚毅,EV047,"[{""kind"":""立场"",""target"":""法治派"",""delta"":5},{""kind"":""好感"",""target"":""陈敬之"",""delta"":-20},{""kind"":""获得"",""target"":""隐忍"",""delta"":0}]"
EV046,2,EV046-C,修改规则，反客为主提出生死状,修改规则，反客为主提出生死状,主角,青年军官，黑发，面容坚毅,EV047,"[{""kind"":""立场"",""target"":""返乡团"",""delta"":5},{""kind"":""好感"",""target"":""陈敬之"",""delta"":-15},{""kind"":""获得"",""target"":""果决"",""delta"":0}]"
EV048,0,EV048-A,签名哀悼，公开站队法治派，誓承恩师遗志,签名哀悼，公开站队法治派，誓承恩师遗志,主角,青年军官，黑发，面容坚毅,EV049,"[{""kind"":""立场"",""target"":""法治"",""delta"":15},{""kind"":""好感"",""target"":""林素心"",""delta"":-5},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":10}]"
EV048,1,EV048-B,保持沉默，明哲保身，静观其变,保持沉默，明哲保身，静观其变,主角,青年军官，黑发，面容坚毅,EV049,"[{""kind"":""立场"",""target"":""中立"",""delta"":5},{""kind"":""好感"",""target"":""林素心"",""delta"":10},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":-10}]"
EV048,2,EV048-C,走向军方，致敬教官，倒向陆军,走向军方，致敬教官，倒向陆军,主角,青年军官，黑发，面容坚毅,EV049,"[{""kind"":""立场"",""target"":""陆军"",""delta"":15},{""kind"":""好感"",""target"":""方孝先"",""delta"":15},{""kind"":""好感"",""target"":""赵伯衡"",""delta"":-15}]"
EV049,0,EV049-A,接受遗物，正式加入法治派,接受遗物，正式加入法治派,主角,青年军官，黑发，面容坚毅,EV050,"[{""kind"":""立场"",""target"":""法治"",""delta"":20},{""kind"":""好感"",""target"":""法治派学者"",""delta"":20},{""kind"":""解锁"",""target"":""法治派专属剧情"",""delta"":0}]"
EV049,1,EV049-B,婉拒邀请，保持独立中立,婉拒邀请，保持独立中立,主角,青年军官，黑发，面容坚毅,EV050,"[{""kind"":""立场"",""target"":""中立"",""delta"":10},{""kind"":""好感"",""target"":""法治派学者"",""delta"":-15},{""kind"":""解锁"",""target"":""独立军阀路线"",""delta"":0}]"
EV049,2,EV049-C,表面加入，暗中出卖情报,表面加入，暗中出卖情报,主角,青年军官，黑发，面容坚毅,EV050,"[{""kind"":""立场"",""target"":""陆军"",""delta"":15},{""kind"":""立场"",""target"":""法治"",""delta"":-10},{""kind"":""好感"",""target"":""方孝先"",""delta"":20}]"
EV051,0,EV051-A,赴林素心之约，于长椅旁探讨时局与未来，在乱世中寻得一丝清明。,赴林素心之约，于长椅旁探讨时局与未来，在乱世中寻得一丝清明。,主角,青年军官，黑发，面容坚毅,EV052,"[{""kind"":""立场"",""target"":""自由派"",""delta"":10},{""kind"":""好感"",""target"":""林素心"",""delta"":15}]"
