id,triggerKind,triggerTarget,minWeek,maxWeek,title,speaker,body,sceneId,relationshipTarget,affectionDelta,axisId,axisDelta,intelligenceDelta,suspicionFaction,suspicionDelta,nextStoryId,once
nf_course_infantry_001,course,infantry,1,12,枪阵课后的复盘,赵伯衡,枪阵课结束后，赵伯衡把步兵、长枪与重步的站位画在沙盘上。你第一次看清：课程经验不是数字，而是战棋里每一次少死人、少掉士气的底气。,academy,zhao,5,region,-2,3,Imperial,1,,true
nf_course_infantry_002,course,infantry,13,40,雨夜换防,赵伯衡,夜雨中，你们复盘防线换防。赵伯衡指出前排不稳时后排火枪会被骑兵直冲，这条记录会成为下一场战棋前的阵容提醒。,battlefield,zhao,5,region,-2,3,Imperial,2,,true
nf_course_cavalry_001,course,cavalry,1,14,马房里的行军课,伊尔德,骑训课后，伊尔德让你沿着马蹄印反推道路消耗。你明白战略地图上的一次行军，不只是移动按钮，而是体力、补给和地形的合账。,frontier,yierde,5,nation,3,3,Native,1,,true
nf_course_cavalry_002,course,cavalry,15,42,边道复测,伊尔德,你随骑队复测边道，发现旧地图漏标了一段浅滩。伊尔德提醒你：战前情报越清楚，开局位置越不容易被动。,frontier,yierde,5,nation,3,4,Foreign,1,,true
nf_course_artillery_001,course,artillery,1,16,炮尺校准,李婉清,炮算课上，李婉清要求你把风向、距离和地形一起算入射击表。下一次使用火枪与重器单位时，这些计算会变成更稳的伤害预判。,battlefield,li,4,governance,1,4,Foreign,2,,true
nf_course_artillery_002,course,artillery,17,44,失准的炮表,李婉清,你们校准火炮时发现旧炮表误差很大。李婉清把误差写进战前提示：重器强，但没有侦察和保护就会拖慢整支部队。,battlefield,li,5,governance,-1,4,Imperial,2,,true
nf_course_management_001,course,management,1,18,军政课的任务板,林素心,军政课讲到军令登记，林素心把主线任务、角色支线和日常目标分成三栏。你终于知道每周该先看目标，再决定课程和周末去向。,library,lin,5,class,2,4,Reformist,1,,true
nf_course_management_002,course,management,19,46,战报归档,林素心,林素心把几份战报排在一起，指出胜负之外还要看击溃数、补给消耗和关系反应。战棋结果会反过来改变任务评价。,library,lin,5,class,2,5,Imperial,2,,true
nf_course_logistics_001,course,logistics,1,18,补给线上的红圈,旁白,后勤教官让你复盘一次失败转运。地图上那几个红圈不是装饰，而是提醒你：补给不足时，战棋里的攻击、士气和移动都会变差。,harbor,,0,region,-1,4,Foreign,2,,true
nf_course_logistics_002,course,logistics,19,46,盐袋里的军票,旁白,你在补给样箱中找到几张潮湿军票。票根没有收款人，只写着“学籍副册调阅费”。这不是普通贪墨，而是有人在购买身份。,harbor,,0,governance,-2,5,Imperial,2,,true
nf_course_training_001,course,training,1,18,夜训后的体力账,旁白,夜训结束后，你把体力消耗记进周记。高强度养成能换来等级，但疲劳会让社交与战斗状态下降。,academy,,0,governance,1,3,Imperial,2,,true
nf_course_training_002,course,training,19,48,晨跑路线,旁白,晨跑路线临时改道，队伍绕过旧档案室后墙。你看见墙根有新鲜泥印，像是有人夜里从那里搬走过箱子。,academy,,0,governance,1,4,Imperial,2,,true
nf_social_wander_001,social,wander,1,18,雨廊里的名单,旁白,闲逛时，你在雨廊听见低年级学生背诵值日名单。其中一个名字你从未见过，却出现在旧档整理申请上。,academy,,0,,0,3,Imperial,1,,true
nf_social_group_001,social,group,1,30,同窗桌上的三种说法,旁白,朋友聚会时，同一件旧港封仓案被说成三种版本：军需审计、商团走私、旧部清算。说法越多，越说明有人不想让真相成形。,street,,0,class,1,4,Foreign,1,,true
nf_social_zhao_001,social,zhao,1,26,赵伯衡的前排法,赵伯衡,邀约归来时，赵伯衡用筷子摆出三层阵。若你愿意听他讲完，下一次编队时会更重视前排承伤和侧翼保护。,street,zhao,7,region,-3,3,Imperial,2,,true
nf_social_zhao_002,social,zhao,27,52,父辈名单,赵伯衡,赵伯衡终于拿来一张残破名册。名单上既有沈家的旧部，也有赵家的家将。最末一栏被墨涂黑，只剩“押送”二字。,street,zhao,8,region,-3,5,Imperial,3,,true
nf_social_lin_001,social,lin,1,26,林素心的索引卡,林素心,林素心把课程、任务和人际消息写成索引卡。她没有替你做决定，只提醒你：所有剧情都应该回答一个问题，本周要练什么、打什么、找谁。,library,lin,7,class,3,4,Reformist,1,,true
nf_social_lin_002,social,lin,27,52,剪报墙,林素心,她把一整面剪报墙展示给你。每当报纸要求学生远离政务，旧港或学籍副册就会在同一周发生变动。,library,lin,8,class,3,5,Reformist,2,,true
nf_social_yierde_001,social,yierde,1,34,伊尔德的边地歌,伊尔德,伊尔德唱起边地旧歌，歌词里全是道路、渡口和补给点。你意识到文化差异不只是文案，它会影响战略地图上的选择。,frontier,yierde,7,nation,4,4,Native,1,,true
nf_social_chen_001,social,chen,1,34,封档理由,陈敬之,陈敬之冷淡地提醒你：档案不是给少年逞英雄的玩具。可他越是警告，你越能听出法治派真正害怕的是副册外流。,council,chen,6,governance,-3,3,Imperial,2,,true
nf_social_li_001,social,li,8,52,海图复核,李婉清,李婉清不谈传闻，只把炮尺、海图和演习编号摆成一列。三者同时指向旧港外的暗礁航道，那里不该出现在学院教材里。,battlefield,li,7,governance,1,5,Foreign,2,,true
nf_activity_drill_001,activity,drill,1,22,兵棋桌边的空位,李婉清,兵棋推演里多出一个空位。李婉清建议你把它留给远程单位，哪怕暂时少一名前排，也能逼敌军改变推进路线。,battlefield,li,4,governance,-2,4,Imperial,2,,true
nf_activity_drill_002,activity,drill,23,52,沙盘外的敌人,旁白,推演结束后，你发现敌方行动路线过于贴近真实边防。若这份沙盘流到外面，夏季演习将不再只是演习。,battlefield,,0,governance,-2,5,Foreign,3,,true
nf_activity_salon_001,activity,salon,1,34,茶馆里的派系风向,陈敬之,茶馆里有人谈军令，也有人谈名声。陈敬之提醒你：同一场胜利，在不同派系眼中可能是功劳，也可能是威胁。,street,,0,class,1,3,Imperial,2,,true
nf_activity_lecture_001,activity,lecture,1,52,讲座后的递条,旁白,讲座散场后，有人把一张纸条塞进你的书里：别只查谁偷了档案，先查谁有资格销毁档案。,council,,0,governance,3,4,Imperial,2,,true
nf_activity_volunteer_001,activity,volunteer,1,40,救济棚的收据,旁白,救济棚里，一名码头工把半张收据塞给你。上面写着旧港三号仓，却盖着学院军需处的章。,harbor,,0,nation,4,4,Foreign,2,,true
nf_rest_secret_letter_001,rest,rest,1,28,休息日的整理,旁白,难得休息时，你整理这周的课程记录、战报和邀约。休息不是跳过玩法，而是让下一周的体力与心态回到可控范围。,academy,,0,,0,4,Imperial,1,,true
nf_rest_window_001,rest,rest,29,52,窗外的灯,旁白,你本想早睡，却看见旧档案室的窗后亮着灯。次日清晨，门口多了两道新锁，像是有人赶在你之前处理了什么。,academy,,0,,0,4,Imperial,2,,true
nf_study_library_001,study,study,1,28,图书馆的克制表,旁白,自习到深夜，你在旧书页边看到一张兵种克制表。它很枯燥，却能让下一次攻击前的判断少一点赌运气。,library,,0,class,1,4,Foreign,1,,true
nf_study_marginalia_001,study,study,29,52,页边批注,旁白,你重读军政教材时，发现页边批注反复出现“副册不可入库”。写批注的人熟悉学院流程，也熟悉如何避开流程。,library,,0,governance,1,5,Imperial,2,,true
nf_intel_010,intelligence,10,1,999,情报：敌影初现,旁白,情报脉络初成，你终于能在战略地图上看出哪支敌军只是虚张声势，哪支部队真的会威胁据点。,library,,0,,0,2,Imperial,1,,true
