key,value,note
game.title,明路,标题界面主标题
title.subtitle,1760，新京军事学院。你的道路，将通向王朝、共和、边疆，或未曾设想的远方。,标题副标题
top.hint,鼠标/触摸点击优先，键盘仅作备用,顶部提示
button.new_game,新的传奇,标题按钮
button.strategy,进入战略地图,标题按钮
button.continue,继续征途,标题按钮
button.credits,开发团队,标题按钮
button.exit,退出,标题按钮
button.back_title,返回标题,通用按钮
character_create.title,创建角色,创角标题
character_create.description,选择你的开局特性。它们会在战斗、社交和养成中持续生效。,创角说明
character_create.message,选择 1-3 个特性，确认后进入新京军事学院。,创角默认提示
academy.title,新京军事学院,学院标题
credits.body,"《明路》Unity 原型
设计来源：明路第一版文档
实现：运行时 UI / 学院养成 / 战略地图 / 六边形战棋
素材：项目内可配置美术资源。",制作组文案
story.missing,未找到剧情事件：,剧情缺失提示
battle.message.start,选择蓝方军团开始行动。拖动地图可以调整视野。,战斗初始提示
log.game_start,1760年，你抵达新京军事学院。,界面文案
button.close_short,X,界面文案
story.choice_label,选择：,界面文案
hud.week,周,界面文案
hud.mood,心情,界面文案
hud.stamina,体力,界面文案
hud.merit,战功,界面文案
hud.treasury,国库,界面文案
button.settings_short,设置,界面文案
button.continue_empty,继续征途（暂无存档）,界面文案
character_create.step_title,建立角色  {0}/6,模板文案
character_create.section_profile,身份,界面文案
character_create.section_summary,确认,界面文案
button.details,查看完整明细,界面文案
button.random_all,全部随机,界面文案
button.prev_step,上一步,界面文案
button.confirm_school,确认入学,界面文案
button.next_step,下一步,界面文案
character_create.profile_card,"{0}
新京军事学院预备生
特性会影响战斗、社交与养成。",模板文案
common.none,无,界面文案
character_create.step_profile,命名与定容,界面文案
character_create.step_origin,家世出身,界面文案
character_create.step_memory,少年往事,界面文案
character_create.step_talent,天赋觉醒,界面文案
character_create.step_subject,学科倾向,界面文案
character_create.step_confirm,总览确认,界面文案
character_create.profile_hint,姓名可自由填写；不填则使用默认名。字号为可选项，会出现在正式场合。,界面文案
character_create.name_label,姓名,界面文案
character_create.name_placeholder,默认：{0},模板文案
button.random_name,随机姓名,界面文案
character_create.courtesy_label,字号,界面文案
character_create.courtesy_placeholder,可不填,界面文案
character_create.profile_plain_note,外貌自定义暂不开放。当前立绘只代表主角默认形象，避免出现选了外貌但画面不变化的假功能。,界面文案
character_create.origin_hint,选择一个家世。出身会影响初始学科、派系关系、立场和可选天赋池。,界面文案
character_create.origin_selected,已选择出身：{0}。,模板文案
character_create.origin_none,尚未选择出身。,界面文案
button.origin_detail,查看出身影响,界面文案
character_create.memory_hint,三段往事会形成你的性格特质，并轻微影响初始立场。,界面文案
character_create.talent_hint,从当前出身的天赋池中选择 2 个初始天赋。天赋会在战斗、社交和养成中长期生效。,界面文案
character_create.talent_default_category,天赋,界面文案
character_create.subject_hint,选择 2 个学科倾向。每个倾向会获得一段初始进度，方便你在入学后更快升级。,界面文案
character_create.confirm_hint,确认后进入序章。姓名、出身、往事与初始天赋会写入存档。,界面文案
character_create.edit_profile,改姓名,界面文案
character_create.edit_origin,改出身,界面文案
character_create.edit_memory,改往事,界面文案
character_create.edit_talent,改天赋,界面文案
character_create.edit_subject,改学科,界面文案
character_create.memory_selected,{0}已记录。,模板文案
character_create.talent_removed,已移除天赋。,界面文案
character_create.talent_max,初始天赋最多选择 2 个。,界面文案
