name,identity,faction,kind,traits,background,tasks,nodes,portrait,asset
郑怀远,返乡团创始人之一，海军老将,返乡团,非同学NPC,刚毅、怀旧、固执、忠义、威严,少年时随郑氏舰队东渡，亲历横渡太平洋之九死一生。半生征战海域，从舱底水手累功至海军副都督。每至月圆之夜独坐船头东望，口中低吟故乡山川之名。一生唯念东征光复，纵白发苍苍亦不稍改其志。,旧梦航线:助郑怀远寻访东渡古航海图;铁锚之心:为其修整旗舰以备东征;老兵不死:劝阻其亲征之念;东望楼台:陪其登塔远眺讲述往事;遗令之谜:在其病榻前接受临终嘱托,第二章力主东征引发朝堂辩论；第四章舰队出征时病重；第六章临终将东征密令托付主角,白发苍苍的老将，面容刚毅如铁，身着深蓝海军官服，胸前勋章斑驳，目光深邃东望,Art/Portraits/portrait_001
赵夫人,赵将军之妻，京城贵妇圈核心人物,返乡团,非同学NPC,精明、优雅、强势、护犊、世故,出身将门世家，自幼熟读兵书政略，嫁入赵家后以柔腕织就京城贵妇人脉网。其夫常年戍边，她独撑门楣，于觥筹交错间为返乡团争取资源。面上笑语盈盈，暗中手段凌厉，人称'铁面观音'。,绣楼密议:为赵夫人传递政坛密信;贵妇茶会:在其安排下结交权贵家眷;母命难违:协助劝赵伯衡归家省亲;妆奁之秘:发现其藏匿的东征军费账册;红线牵缘:被安排与某家小姐相亲,第一章介绍主角进入贵妇圈；第三章发现其暗中挪用军费；第五章与赵伯衡母子冲突,雍容华贵的中年妇人，眉目精明，发髻高耸簪珠翠，着绛紫锦袍，手持团扇微笑,Art/Portraits/portrait_002
钱尚书,兵部尚书，返乡团政治核心,返乡团,非同学NPC,老辣、沉稳、多谋、寡言、城府深,寒门出身，以军功入仕，三十年间从主簿升至兵部尚书。深知朝堂如棋局，落子须算三步之后。于皇帝面前是忠臣，于同僚眼中是劲敌，于部下心中是严师。主张东征却从不亲赴前线，世人或讥其怯，实则运筹帷幄。,尚书密令:替钱尚书传递机密军令;兵部档案:在其指引下查阅东渡原始记录;朝堂暗流:协助其在政敌间周旋;军粮之争:帮其解决军需调拨危机;棋局终手:见证其最后一步政治布局,第二章主导东征军费预算案；第四章与法治派结盟；第六章病逝引发权力真空,清瘦老者，须发灰白，着黑色官袍补服，面无表情如枯木，眼神幽深,Art/Portraits/portrait_003
孙伯昌,退役老兵，方孝先旧部，学院杂役,返乡团,非同学NPC,粗犷、忠直、酗酒、隐忍、重情义,从军三十年，身上伤疤比军功章还多。退伍后不愿离开军营，自请来学院做杂役，替总教官打扫马厩也甘之如饴。酒醉后常讲前线旧事，清醒时却沉默如山。心中唯一牵挂：战死沙场的兄弟们的遗孤，至今仍在自掏腰包接济。,老兵酒话:酒馆中听其讲述前线秘辛;马厩暗格:在其住处发现隐藏的军用地图;遗孤名单:帮其寻找阵亡战友的后人;最后一班:替他完成未竟的巡逻勤务;铁血勋章:为其争取应得的退役军功赏,第一章引荐主角认识方孝先；第三章透露边境真实战况；第五章为保护主角受伤,粗壮的老兵，满脸横肉刀疤，独眼，着褪色旧军服，腰间挂酒壶,Art/Portraits/portrait_004
沈沧海,海军副将，主导战舰研发,返乡团,非同学NPC,痴迷、执拗、孤僻、天才、偏执,自幼对船舰构造如痴如醉，十六岁即改进福船龙骨设计。东渡途中船队遭遇风暴，其所改之船独得保全，由此声名鹊起。然其性执拗孤僻，不善交际，唯对船舰之事滔滔不绝。近年痴迷于蒸汽动力之设想，被同僚讥为疯子。,图纸迷踪:替沈沧海找回被盗的战舰设计图;铁骨试验:协助其进行新型战船试航;疯子还是天才:为其蒸汽机研究争取经费;暗潮汹涌:发现有人蓄意破坏其研究;远洋之梦:见证其完成第一艘蒸汽船,第三章新型战舰下水试验；第五章研究资料被焚毁；第六章完成蒸汽船原型,瘦削的中年男子，衣衫沾满墨渍油污，头发凌乱，眼中闪烁狂热光芒,Art/Portraits/portrait_005
韩忠义,后勤总管，管理军需物资,返乡团,非同学NPC,精明、吝啬、谨慎、可靠、贪小,市井出身，从粮仓小吏做起，凭一手算盘功夫升至后勤总管。掌管百万军需物资，锱铢必较，被前线将领骂作铁公鸡，却从未让任何一支队伍断粮。私下有贪小便宜之癖，常从库房顺些针头线脑回家，然大账从不含糊。,账本疑云:帮韩忠义核查一批来路不明的军需;粮道之争:协调前线与后方的军粮分配;库房暗门:发现军需库房中的秘密通道;价码谈判:替其与供应商讨价还价;最后一批粮:在内战爆发前抢运最后一批军粮,第二章发现军需账目异常；第四章被指控贪墨遭弹劾；第六章以内战粮草归属要挟各方,矮胖的中年人，小眼睛精光四射，着灰色布袍，腰间挂着大算盘,Art/Portraits/portrait_006
郑明宗,宗人府宗令，皇族代表,返乡团,非同学NPC,傲慢、保守、精于礼法、优柔、虚荣,先帝从子，论辈分乃当今天子从弟。自幼受宗学礼法熏陶，行事循规蹈矩如履薄冰。执掌宗人府二十载，维护皇族体面不遗余力。然其性优柔，遇大事畏首畏尾，常被朝臣讥为'泥塑宗令'。暗中对太子倾心革新之事忧心忡忡。,宗室夜宴:代表宗人府出席皇族宴会;族谱秘密:在宗人府档案中发现东渡前的隐秘;礼法之争:协助其应对太子违礼之事;宗令之难:帮其在皇族内部争斗中自保;宗庙之托:受其委托保护东渡先帝遗物,第二章反对太子改革主张；第四章揭露太子暗中联络自由派；第六章在皇位危机中选择站队,面容清矜的中年贵胄，着明黄织金蟒袍，手持玉笏，眉间忧色,Art/Portraits/portrait_007
冯铁山,边境将军，镇守西部边疆,返乡团,非同学NPC,刚烈、粗豪、护犊、孤傲、重义,行伍出身，以一身悍勇从大头兵杀至边将。镇守西疆十年，与印第安部族时战时和，深谙荒野生存之道。虽属返乡团，却因长居边地而对东征之事渐生疑虑——这片大陆何尝不是家？独女冯英杰女扮男装入学院，是其心中最柔之处。,烽烟再起:赶赴西疆协助冯铁山抵御外敌;边关夜话:在篝火旁听其讲述边境故事;父女之间:帮其与冯英杰修复关系;第三条路:劝其在返乡与扎根间抉择;铁山令:在内战时争取其麾下边军支持,第三章西疆告急请假回援；第五章女扮男装事发震怒；第六章率边军入京改变局势,虎背熊腰的壮汉，肤色黝黑如铁，面有刀疤，着铁甲皮袍，目光如鹰,Art/Portraits/portrait_008
马千户,归化印第安人军官，返乡团中的异类,返乡团,非同学NPC,忠诚、矛盾、沉默、隐忍、自尊,幼时部族被瘟疫摧毁，为汉人军官收养，自幼习汉文武艺。及冠从军，以战功升至千户，是郑明军中官阶最高的归化人。然其内心始终在两个身份间撕扯——印第安血脉与汉式教养，部族故土与军旅此生。同为乡党所疑，同僚亦另眼相看。,两面之刃:替马千户向乡党传递善意信号;归化之痛:陪其重返故地面对昔日同胞;千户的选择:在返乡团与乡党间为其指路;血与土:助其保护部族残留领地;两个名字:帮其寻回印第安本名与根源,第二章因印第安事务被两方拉拢；第四章被乡党指责为叛族者；第六章选择效忠对象决定边防走向,深目高颧的混血男子，编发中杂汉式发簪，着军服外套皮披风，目光忧郁,Art/Portraits/portrait_009
顾老太爷,前朝遗老，衣冠东渡亲历者后代,返乡团,非同学NPC,迂腐、博学、怀旧、慈祥、固执,其父乃明末遗臣，随郑氏东渡时已年逾花甲。顾老太爷生于东渡途中船舱之内，是名副其实的'海上生人'。一生以传承故国文化为己任，家中藏书万卷，皆是东渡时抢救之珍本。虽年迈昏聩，每每谈及故国风物，却忽然清明如少年。,故纸堆:替顾老太爷整理东渡文献;旧物重光:寻访东渡时遗留的明朝器物;海上生人:记录其口述东渡史;最后的墨迹:帮其完成未竟的史书;归骨何处:满足其临终遗愿——面东而葬,第一章引出东渡历史背景；第三章提供关键历史文献；第五章病危托付主角保管文献,枯瘦的老者，长须如雪，着旧式儒衫，手持线装古籍，眼神时而浑浊时而清明,Art/Portraits/portrait_010
