id,name,city,cities,region,terrain,description,owner,defense,income,x,y,roads,armyId
beichenwan,天澜,天澜,天澜;冰门津;望极城;鹿角营;白浪坞;寒沙关;极星驿;折松寨,北陆寒湾,冰湾/针叶林/冻土,北陆入海口，冰湾、针叶林和群岛错落，是西北海路与内陆猎道的交会处。,Native,62,18,-249,133,"hanhebao,xihaiwei",
hanhebao,天岁,天岁,天岁;银鹿城;雪松寨;冰镜湖;乌石驿;北风台;长夜关,育空山河,冰原/山谷/矿脉,沿寒河谷地建立的北方堡群，人口稀少但矿脉和皮货路线价值极高。,Native,58,15,-166,157,"beichenwan,liuyunshan,heishuiling",
xihaiwei,羽州,羽州,羽州;青杉港;温岚城;雨湾寨;白鲸津;松涛关;镜峡镇;鹤背岛,西北海岸,深湾/雨林/海峡,外邦商馆控制的深水良港，雨林与海峡天然成防，是西海贸易和舰队补给核心。,Foreign,72,29,-89,65,"beichenwan,songwanpu,liuyunshan",f4
songwanpu,霁川,霁川,霁川;雨津城;玉峡港;桦帆镇;潮音台;青岬寨;白帆坞,松雨海岸,海港/森林/河口,群山贴海，河口众多，港市富庶但补给线容易受山地势力截断。,Foreign,66,25,-75,33,"xihaiwei,jinshaigang,luojiguan",
liuyunshan,星原,星原,星原;石虹关;雪峰驿;松骨寨;晴岚谷;玉岭台;双河营,西北山脉,高山/雪岭/隘口,落基山脉北段的山城群，隘口稀少，适合防守和小股军队穿插。,Native,70,17,-32,89,"hanhebao,xihaiwei,luojiguan,heishuiling",
luojiguan,月泽,月泽,月泽;天脊堡;青峡营;石门寨;云梯台;鹰扬驿;断雪岭;铜哨城,落基中段,山脉/峡谷/隘路,横断东西的山门，控制高原通道。谁掌握这里，谁就能切断西岸与内陆。,Native,78,19,-3,29,"liuyunshan,songwanpu,dashazhou,yinshanzhen,caohaiying",n3
dashazhou,苍汐,苍汐,苍汐;盐湖城;赤岩寨;白砾堡;风井镇;月泉驿;荒台营,大盆地,盐湖/荒漠/丘陵,盐湖和荒漠隔开的内陆盆地，城镇依水而立，行军必须计算水源与驿站。,Neutral,46,13,-33,-14,"luojiguan,jinshaigang,yulongyuan,yinshanzhen",
jinshaigang,曜岭,曜岭,曜岭;金门湾;临霞城;海棠埠;白鹭镇;锦帆坞;霞岭营;沉香浦,西南海岸,海湾/丘陵/河谷,西海最繁盛的商港之一，金流、粮道和船坞集中，是外邦商馆的重镇。,Foreign,74,32,-70,-25,"songwanpu,dashazhou,nanlinggang,yulongyuan",f2
nanlinggang,玄雾,玄雾,玄雾;日落湾;铜沙埠;白石岬;海烽台;望潮城,南崖海岸,海崖/沙岸/荒坡,西南尽头的海崖港，靠船队维持繁荣，也常被荒漠骑队威胁。,Foreign,60,21,-39,-60,"jinshaigang,yulongyuan",
yulongyuan,霜岫,霜岫,霜岫;仙掌城;赤砂营;月牙镇;鸣沙驿;青灯堡;天池寨,西南台原,红岩/荒漠/峡谷,红岩峡谷与高台原交错，适合埋伏和长途迂回，地方首领多保持观望。,Neutral,50,14,-6,-44,"dashazhou,jinshaigang,nanlinggang,chilingyi",
yinshanzhen,朔风,朔风,朔风;丹炉城;铜岭关;矿灯营;百泉镇;石榴寨;天井台,中落基矿区,矿山/峡谷/高原,矿镇和冶炼工坊连缀成线，革故自治军在这里积累军械和工兵。,Reformist,64,24,32,-12,"luojiguan,dashazhou,chilingyi,huangyuantai",r3
chilingyi,雷泽,雷泽,雷泽;朱砂城;羌笛镇;火云寨;南烽台;石涧营,南落基边驿,荒山/驿道/沙河,南方山路的驿站省份，来往军队必须在此补水、换马或雇佣向导。,Neutral,48,15,31,-48,"yinshanzhen,yulongyuan,muchuanzhen,fengqiyuan",
heishuiling,青蘅,青蘅,青蘅;玄冰城;乌河渡;鹿鸣镇;松影寨;冷泉营;北栈台,北方湖林,湖沼/针叶林/寒丘,寒林与湖沼组成的北方缓冲地，情报、猎道和伏击在这里比城墙更重要。,Native,60,16,83,106,"hanhebao,liuyunshan,caohaiying,xueyuanbao",n4
caohaiying,苍曜,苍曜,苍曜;青牧城;风车镇;鹿泉寨;雁回台;黄草渡;马牙堡,北部大草海,草原/湖泊/缓丘,大草原北段的营帐和镇甸聚落，骑兵机动快，补给依赖牧场。,Native,56,18,69,41,"heishuiling,luojiguan,huangyuantai,beihuaitai",n2
huangyuantai,汐风,汐风,汐风;千粟城;麦风镇;旷野驿;长鹰营;石渠寨;日禾渡,中央大平原,草原/旱河/粮仓,北美腹地的粮仓省份，地势开阔，攻守成败多由机动和补给决定。,Neutral,52,20,82,-14,"caohaiying,yinshanzhen,fengqiyuan,luoshuiying",
fengqiyuan,瀚霜,瀚霜,瀚霜;赤土城;鹿角镇;平川驿;虎台营;双泉堡;鸣犁寨,南部平原,草原/红土/牧道,南部草原与红土牧道交错，许多独立军头在此屯垦、招兵。,Neutral,50,17,78,-46,"huangyuantai,chilingyi,muchuanzhen,changhedu",
muchuanzhen,沧星,沧星,沧星;牛角城;青湾渡;三河寨;石牧营;南风驿;橡叶镇,南方牧河,牧场/河湾/丘陵,牧场和河湾串起的边地，地方豪强对各势力都保持交易。,Neutral,46,18,82,-75,"chilingyi,fengqiyuan,mihekou",
changhedu,雁回,雁回,雁回;河灯城;铁桥镇;雾津关;橡山寨;青纱营;白鹤埠,密西西比中游,大河/渡口/丘陵,大河中游渡口密集，革故自治军把这里经营成东西交通的枢纽。,Reformist,62,23,134,-29,"fengqiyuan,luoshuiying,mihekou,shihuaiying,qinglingguan",r2
mihekou,龙烛,龙烛,龙烛;芦花城;百湾镇;泥金渡;白帆寨;南泽营;鱼梁埠,密西西比下游,河口/湿地/三角洲,大河入海前的湿地省份，贸易收入可观，但疫病和水患会拖慢行军。,Neutral,54,24,134,-78,"muchuanzhen,changhedu,shihuaiying,nanwanfu",
shihuaiying,凤歌,凤歌,凤歌;黑榆城;丘陵镇;炉火寨;花马渡;折柳营;鸣泉堡,南岭丘陵,丘陵/林地/河谷,丘陵、河谷和工坊聚落相连，常作为南北战线的缓冲。,Reformist,58,21,160,-48,"changhedu,mihekou,qinglingguan,yanzecheng",r4
beihuaitai,银澜,银澜,银澜;松麦城;白湖津;鹰落镇;青泥营;石桥驿;寒鸦堡,上湖西岸,湖岸/林地/草甸,五大湖西北门户，既能通草原，也能顺湖路抵达东部城市群。,Native,55,18,115,34,"caohaiying,wuhucheng,xueyuanbao,tiehuwei",
wuhucheng,晨星,晨星,晨星;晴波府;蓝桥津;苇港镇;白鸥寨;灯塔营;镜湖埠;龙湾关,五大湖腹地,湖泊/工坊/林带,湖路、造船、工坊和粮仓汇合的内陆都会，控制五大湖就能撬动北部战局。,Native,68,27,171,17,"beihuaitai,tiehuwei,luoshuiying,shenghekou",n1
tiehuwei,岚月,岚月,岚月;铸浪城;铜帆镇;灰港驿;冷锚寨;西铸营;镜铁关,铁湖半岛,半岛/湖港/铁矿,龙旗朝廷留在湖区的重镇，凭铁矿、船坞和旧式军屯保持威慑。,Imperial,70,25,160,24,"beihuaitai,wuhucheng,luoshuiying",e3
luoshuiying,晴岚,晴岚,晴岚;白杨城;河洛镇;雾桥关;青舟寨;铁桨营;长堤埠;芦明驿,俄亥河谷,河谷/林地/工坊,东部与内陆的咽喉，河谷工坊和新式民团让革故自治军在此坐大。,Reformist,66,26,185,-8,"huangyuantai,changhedu,wuhucheng,tiehuwei,longmenbao,qinglingguan",r1
xueyuanbao,黎光,黎光,黎光;寒星城;白鹿镇;冰桥驿;松针寨;北炉营;银桦台,北湾雪原,寒林/湖沼/冻原,北湾南缘的旧朝堡垒群，地广人稀但易守难攻，是龙旗势力北线根基。,Imperial,74,19,204,102,"heishuiling,beihuaitai,shenghekou",e1
